"feature1" "feature2" "feature3" "feature4" "feature5"
"1" -1.28404324445443 5.07322668377059 -8.88317972464446 0.392397747516562 2.28657962442768
"1" 5.77139481172521 5.613895301183 -4.10822831451852 1.54254515865966 -0.155421493669628
"1" 12.5089199832699 7.05915941008415 0.889839507104377 3.78322893597921 -1.97184316551999
"1" 19.7442770366483 10.6852379721243 7.12866414031847 8.45568551298354 -1.97754247894987
"1" 24.7676409623215 15.7910083117046 13.1528070363983 16.1346739693412 -4.04215954484213
"1" 21.7403186773462 14.7995261575929 11.2671732589944 16.092044269135 -7.28348486353822
"1" 9.63789054350964 22.6049200433286 8.66251724808803 28.7508215343335 -9.11988084672832
"2" 3.77904971552591 -0.87700574253597 -13.7877177876052 -2.4596638311906 -1.42876389815832
"2" 18.0174733105382 2.11362355710793 -1.56227009643596 1.97954659699912 -3.67893252872724
"2" 21.6040441595611 0.798964569787231 0.858846793022606 1.51230934338514 -8.00543324209708
"2" 29.6362739704262 6.86094099542047 6.12170822952547 9.64041381752301 -8.96553144569606
"2" 22.844895109644 5.1880096324473 -1.40852548304678 8.54932326400566 -12.4333455277602
"3" -0.114485353991448 -2.05029116557091 -17.9331550318437 -10.1354847241354 3.82355537520098
"3" 10.6535221332214 0.710056475033751 -9.67205491401528 -6.52105394672255 4.67301614151608
"3" 20.5381681521019 2.75677472324577 -2.162824700147 -3.35756778699331 4.63233781368119
"3" 30.3906457393866 4.99685054757226 5.65477321637025 0.942538459455816 4.09122283554307
"3" 29.583405458359 3.56905782351402 5.08112573682484 1.11421146940567 1.33031801128642
"3" 26.1025006522456 6.259856830083 4.37056871230088 6.15052462551896 3.17234983702591
"4" -1.47648974596063 4.36285910218064 -14.1248392142194 -1.09838489400809 -5.45661539164383
"4" 4.75560410775342 5.52905749427246 -9.50533094516033 -0.0270819343100039 -6.7919515302511
"4" 13.836388034591 9.23992218750078 -1.9693804771899 3.59921161768569 -5.99338180016967
"4" 18.1620122232142 10.4052644247184 1.58400576329307 4.72811363011665 -6.75886936067558
"4" 20.3641979187217 8.96298814667727 3.16776733717049 3.27030966848248 -10.8588738459597
"4" 21.5095296712627 8.86033356887835 4.25608158782976 3.17740520443972 -12.1167684725094
"4" 23.4949797512093 9.67501827200881 6.41450105602152 4.02328575941355 -12.7445785808272
"4" 27.2365861429444 14.8372703968076 13.7742546036837 9.52039820456165 -11.8960019768555
"4" 25.285434871035 14.7057922882314 13.4010904339717 9.52024887811017 -12.7110546649125
"4" 19.5465845973089 15.9838785508635 12.7728185715506 11.2098889434123 -12.525405949525
"4" 14.1774937129322 13.4382024355486 9.28348966676463 8.8126168532993 -15.2309107972242
"5" 1.04784788030749 -3.15122480181644 -9.44571639861168 -4.34088201871602 -0.1725826264953
"5" 9.39266499831888 -2.11693068538639 -3.42031286318029 -3.2055418511487 -2.33607172043663
"5" 16.2811085813922 0.0970383712388698 1.92160434903844 -0.98566392757009 -2.58285982850241
"5" 17.6042375366799 -0.822403422007583 2.47134774442262 -1.93135876393236 -4.88900083175645
"5" 27.1521972253096 3.28620199501646 9.90804421664791 1.89578178256318 -5.68737350222979
"5" 29.035215354363 3.96359480657285 10.9289586537297 2.14615803584426 -8.68186640251323
"5" 31.531237828228 6.70009799966498 13.2857049215833 4.67990650856701 -7.25360672636205
"5" 30.7187791918838 7.30421258257505 12.4683414644626 4.84412203753554 -9.00879939336387
"5" 31.6724381101751 9.79693435158078 13.5873441536635 7.01679931104346 -7.96035524708216
"5" 25.1175169717137 10.7558091661907 8.28978714241607 6.82963559665337 -11.1010915928265
"6" 26.4349159409614 0.74882386838732 -11.3130354147431 -3.05730160919271 -4.00709202378084
"6" 21.8428212555247 -0.229537985474282 -6.77202942438517 -2.46043745044857 -5.63247311179875
"6" 8.34219419828188 -4.66668439076844 7.23176720345236 -0.0080932215191889 -9.67422270090948
"6" 4.1599952752095 -8.26286560488358 10.9221907561399 0.73620589877098 -10.5699320160656
"6" 5.69893164844974 -9.25187051496943 13.927286865953 3.66570066019774 -7.65854642080771
"6" 7.4138865590413 -11.8103167505832 12.9797438356536 4.44558879031428 -5.88000477325745
"7" 20.5868536512657 -1.66637341541623 -10.3824966100726 2.4360215310542 5.15823376352573
"7" 5.13150818999411 -6.43063899585493 1.79189373953092 4.70124818563309 -0.501278730386492
"7" 0.161718592562356 -8.78280403347187 3.31186886164226 4.07265836431528 -2.94727675982055
"7" -16.5007006698945 -14.2426541380319 11.0303291202413 6.01948798877606 -7.26275604720181
"7" -19.1260685324581 -14.671005998518 10.041075405455 7.07184378646508 -6.03362043875013
"8" 17.9450777143712 -1.25043283085185 -6.16857263598034 -1.45130151004059 5.10659200197327
"8" 9.64404902474217 -4.75461089652861 -2.73058581408655 -3.07321079393932 0.983034142121395
"8" 1.13211338559762 -6.18264099625128 5.66577912652542 -1.53494541996715 -1.1332566422617
"8" -1.99951036021894 -5.30516310471557 11.7504368527235 1.17525794218524 -0.458462218060214
"8" -6.0523802817871 -6.66812588029956 13.6448269928706 1.14510587993899 -1.8322525601273
"8" -13.6209635527882 -8.43877288913001 17.4271441569423 2.88777128697639 -2.84897944264481
