"Visit","Feature","Final_cluster","Risk_group","Z_value"
1,"serBilir",2,"Lower-risk trajectory",-0.332007468710001
2,"serBilir",2,"Lower-risk trajectory",-0.405072088121614
3,"serBilir",2,"Lower-risk trajectory",-0.403693510396867
4,"serBilir",2,"Lower-risk trajectory",-0.347171823682223
5,"serBilir",2,"Lower-risk trajectory",-0.332007468710001
1,"serChol",2,"Lower-risk trajectory",-0.06769705122381
2,"serChol",2,"Lower-risk trajectory",-0.166275152186207
3,"serChol",2,"Lower-risk trajectory",-0.196239420760681
4,"serChol",2,"Lower-risk trajectory",-0.186685595997805
5,"serChol",2,"Lower-risk trajectory",-0.384276062684549
1,"albumin",2,"Lower-risk trajectory",0.755220205437271
2,"albumin",2,"Lower-risk trajectory",0.490906605175422
3,"albumin",2,"Lower-risk trajectory",0.603664241984376
4,"albumin",2,"Lower-risk trajectory",0.244779720527921
5,"albumin",2,"Lower-risk trajectory",0.100498443320764
1,"alkaline",2,"Lower-risk trajectory",0.234055153654611
2,"alkaline",2,"Lower-risk trajectory",-0.337746602166627
3,"alkaline",2,"Lower-risk trajectory",-0.380565216497143
4,"alkaline",2,"Lower-risk trajectory",-0.48229036383727
5,"alkaline",2,"Lower-risk trajectory",-0.506174735414696
1,"SGOT",2,"Lower-risk trajectory",-0.107997718143906
2,"SGOT",2,"Lower-risk trajectory",-0.185102065121548
3,"SGOT",2,"Lower-risk trajectory",-0.346195075771263
4,"SGOT",2,"Lower-risk trajectory",-0.397225073268742
5,"SGOT",2,"Lower-risk trajectory",-0.373990504425033
1,"platelets",2,"Lower-risk trajectory",0.567484941275058
2,"platelets",2,"Lower-risk trajectory",0.22601566232239
3,"platelets",2,"Lower-risk trajectory",-0.0714294781867931
4,"platelets",2,"Lower-risk trajectory",0.0222629190134429
5,"platelets",2,"Lower-risk trajectory",0.00589497010496795
1,"prothrombin",2,"Lower-risk trajectory",-0.427266093036832
2,"prothrombin",2,"Lower-risk trajectory",-0.343073726298494
3,"prothrombin",2,"Lower-risk trajectory",-0.317449962508565
4,"prothrombin",2,"Lower-risk trajectory",0.0193195044447874
5,"prothrombin",2,"Lower-risk trajectory",0.154759398762983
1,"serBilir",1,"Higher-risk trajectory",0.0924884260718359
2,"serBilir",1,"Higher-risk trajectory",0.164598645520162
3,"serBilir",1,"Higher-risk trajectory",0.667249292851141
4,"serBilir",1,"Higher-risk trajectory",1.29079060219843
5,"serBilir",1,"Higher-risk trajectory",1.41592304182935
1,"serChol",1,"Higher-risk trajectory",1.54011812241941
2,"serChol",1,"Higher-risk trajectory",0.250017729614334
3,"serChol",1,"Higher-risk trajectory",0.564024557485068
4,"serChol",1,"Higher-risk trajectory",0.488529298869338
5,"serChol",1,"Higher-risk trajectory",0.630834520861819
1,"albumin",1,"Higher-risk trajectory",0.14759737350151
2,"albumin",1,"Higher-risk trajectory",0.151327981832659
3,"albumin",1,"Higher-risk trajectory",-0.333651101216606
4,"albumin",1,"Higher-risk trajectory",-0.647022201033053
5,"albumin",1,"Higher-risk trajectory",-0.934279042531464
1,"alkaline",1,"Higher-risk trajectory",0.749668187580368
2,"alkaline",1,"Higher-risk trajectory",0.0658840463262665
3,"alkaline",1,"Higher-risk trajectory",0.658281193900299
4,"alkaline",1,"Higher-risk trajectory",0.448757471931723
5,"alkaline",1,"Higher-risk trajectory",0.295779452302691
1,"SGOT",1,"Higher-risk trajectory",1.10368835682316
2,"SGOT",1,"Higher-risk trajectory",0.616887732103396
3,"SGOT",1,"Higher-risk trajectory",0.802631892147406
4,"SGOT",1,"Higher-risk trajectory",1.02001743084467
5,"SGOT",1,"Higher-risk trajectory",1.25554049621765
1,"platelets",1,"Higher-risk trajectory",-0.0427747135194364
2,"platelets",1,"Higher-risk trajectory",-0.436994809246102
3,"platelets",1,"Higher-risk trajectory",-0.586346915997173
4,"platelets",1,"Higher-risk trajectory",-0.655813012160462
5,"platelets",1,"Higher-risk trajectory",-0.824268295356438
1,"prothrombin",1,"Higher-risk trajectory",-0.148220489566287
2,"prothrombin",1,"Higher-risk trajectory",-0.182010068190369
3,"prothrombin",1,"Higher-risk trajectory",0.00383261424208285
4,"prothrombin",1,"Higher-risk trajectory",0.302307225421475
5,"prothrombin",1,"Higher-risk trajectory",0.747203343971891
